epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.7534,1.38197,1.65777,2.62045,0.9862,0.99664,0.16029,0.16521,0.12903,0.9965,0.16006,0.16495,0.09845,0.90187,0.9029,1.23142,0.85246,0.00030091,0.00030091,0.00030091
2,98.7065,1.03948,1.06763,0.98017,0.85243,0.61988,0.42596,0.29103,0.21181,0.6194,0.42548,0.28924,0.17374,0.84468,0.86985,0.70238,0.83275,0.000597932,0.000597932,0.000597932
3,148.695,0.9718,1.02789,0.71404,0.84358,0.62978,0.45898,0.31753,0.22416,0.62918,0.45837,0.31653,0.18781,0.94957,0.93014,0.64326,0.83799,0.000888954,0.000888954,0.000888954
4,197.68,0.94812,0.98168,0.62011,0.84049,0.615,0.48628,0.34043,0.2501,0.61493,0.48621,0.34042,0.21899,0.76937,0.81552,0.53015,0.82206,0.000882003,0.000882003,0.000882003
5,246.618,0.90083,0.95602,0.55551,0.83306,0.67573,0.43199,0.39828,0.29479,0.67539,0.43164,0.39858,0.26249,0.79208,0.80537,0.49464,0.8209,0.000873004,0.000873004,0.000873004
6,295.477,0.87987,0.93216,0.51545,0.83017,0.70923,0.47243,0.4365,0.32151,0.70887,0.47205,0.43642,0.29003,0.76098,0.81423,0.44193,0.81832,0.000864004,0.000864004,0.000864004
7,344.353,0.87724,0.9364,0.50386,0.82921,0.69651,0.48402,0.44502,0.32192,0.69585,0.48333,0.44448,0.28208,0.8419,0.84458,0.47058,0.82913,0.000855005,0.000855005,0.000855005
8,392.639,0.87306,0.91708,0.49381,0.82845,0.74551,0.49522,0.45908,0.33336,0.74504,0.49474,0.45835,0.30171,0.7682,0.83154,0.43663,0.81672,0.000846006,0.000846006,0.000846006
9,450.75,0.84336,0.89507,0.47187,0.82465,0.72221,0.49996,0.46701,0.34901,0.72164,0.49936,0.46646,0.31518,0.73023,0.78938,0.41383,0.81467,0.000837007,0.000837007,0.000837007
10,498.234,0.82929,0.89491,0.45983,0.82266,0.72773,0.53589,0.49387,0.37099,0.72855,0.53719,0.49424,0.32919,0.77475,0.78421,0.4192,0.81829,0.000828008,0.000828008,0.000828008
11,545.396,0.83668,0.90021,0.45917,0.82284,0.74182,0.52539,0.49197,0.35638,0.74129,0.52484,0.49144,0.317,0.73385,0.77144,0.40546,0.81355,0.000819009,0.000819009,0.000819009
12,592.065,0.83901,0.89621,0.45079,0.82164,0.7683,0.53096,0.50122,0.37564,0.76768,0.53033,0.50069,0.33788,0.70505,0.77766,0.39879,0.8119,0.00081001,0.00081001,0.00081001
13,639.127,0.82432,0.89381,0.44603,0.81983,0.74958,0.54567,0.5136,0.38345,0.75035,0.54683,0.51404,0.33936,0.74967,0.82038,0.39811,0.81336,0.000801011,0.000801011,0.000801011
14,686.436,0.81329,0.87285,0.43624,0.81847,0.77021,0.55115,0.53722,0.40024,0.76849,0.54735,0.53562,0.35132,0.7572,0.77328,0.39917,0.81307,0.000792012,0.000792012,0.000792012
15,735.272,0.82018,0.87406,0.43617,0.81881,0.78284,0.53693,0.55404,0.41551,0.78223,0.53631,0.55349,0.37262,0.7457,0.76772,0.40753,0.8134,0.000783013,0.000783013,0.000783013
16,784.011,0.82848,0.89327,0.43382,0.81928,0.76444,0.54939,0.55118,0.41613,0.76395,0.54889,0.5508,0.37471,0.74336,0.79243,0.38697,0.81272,0.000774013,0.000774013,0.000774013
17,832.328,0.80109,0.86562,0.42539,0.81882,0.79506,0.52935,0.55982,0.41095,0.80661,0.52297,0.55894,0.36947,0.7745,0.80524,0.39681,0.81494,0.000765014,0.000765014,0.000765014
18,880.614,0.8006,0.85939,0.42603,0.81651,0.82058,0.53076,0.55342,0.42154,0.82012,0.53029,0.55312,0.37839,0.70605,0.75968,0.39055,0.80887,0.000756015,0.000756015,0.000756015
19,929.131,0.79066,0.84677,0.42065,0.81579,0.82,0.52429,0.57472,0.43234,0.81954,0.52383,0.57425,0.39063,0.71714,0.75955,0.38047,0.80884,0.000747016,0.000747016,0.000747016
20,977.633,0.79737,0.85826,0.42223,0.81762,0.82372,0.53323,0.58598,0.44949,0.82301,0.53251,0.58536,0.39591,0.73377,0.75922,0.40034,0.80967,0.000738017,0.000738017,0.000738017
21,1026.54,0.79825,0.84782,0.41728,0.81504,0.83395,0.52534,0.58486,0.44263,0.8335,0.52488,0.58467,0.39552,0.70534,0.74901,0.37507,0.80778,0.000729018,0.000729018,0.000729018
22,1075.43,0.7877,0.84449,0.41258,0.81468,0.87006,0.51536,0.58838,0.4438,0.86965,0.51494,0.58796,0.39534,0.72274,0.75203,0.38298,0.80884,0.000720019,0.000720019,0.000720019
23,1123.85,0.7868,0.83949,0.41048,0.81491,0.84159,0.53889,0.59483,0.45498,0.84102,0.53831,0.594,0.40577,0.70056,0.74147,0.37321,0.80705,0.00071102,0.00071102,0.00071102
24,1172.66,0.79311,0.84474,0.41164,0.81615,0.85933,0.52821,0.58039,0.44432,0.85883,0.5277,0.57999,0.40191,0.68868,0.74089,0.36992,0.80578,0.000702021,0.000702021,0.000702021
25,1221.72,0.79641,0.85018,0.40559,0.81386,0.87698,0.54371,0.60116,0.44905,0.87638,0.54309,0.60075,0.40615,0.74509,0.78739,0.37417,0.81093,0.000693022,0.000693022,0.000693022
26,1270.65,0.7911,0.8454,0.4025,0.81477,0.86762,0.52953,0.61115,0.46518,0.86712,0.52903,0.61081,0.42279,0.72619,0.74473,0.37049,0.80993,0.000684022,0.000684022,0.000684022
27,1319.43,0.78818,0.84646,0.40276,0.81469,0.87847,0.55037,0.61982,0.46808,0.8779,0.54979,0.61981,0.41426,0.72352,0.76391,0.37517,0.80898,0.000675023,0.000675023,0.000675023
28,1368.24,0.80086,0.84368,0.40553,0.81495,0.90032,0.52869,0.61668,0.47452,0.89989,0.52824,0.61646,0.42732,0.69532,0.75735,0.36422,0.80509,0.000666024,0.000666024,0.000666024
29,1437.05,0.79212,0.83208,0.4038,0.81423,0.84357,0.54054,0.61062,0.46386,0.84309,0.54005,0.61035,0.42451,0.69514,0.72913,0.37234,0.80536,0.000657025,0.000657025,0.000657025
30,1483.37,0.77433,0.8217,0.39864,0.81341,0.83415,0.55664,0.62267,0.47873,0.83469,0.55537,0.62245,0.43216,0.70797,0.76601,0.37882,0.80824,0.000648026,0.000648026,0.000648026
31,1530.18,0.78011,0.82855,0.40351,0.81157,0.89359,0.52917,0.61076,0.47252,0.89314,0.52872,0.6104,0.42652,0.68466,0.72974,0.36943,0.805,0.000639027,0.000639027,0.000639027
32,1576.99,0.76832,0.814,0.39931,0.81043,0.88186,0.53628,0.61454,0.46413,0.8813,0.53571,0.61444,0.41406,0.70537,0.7798,0.37321,0.80703,0.000630028,0.000630028,0.000630028
