epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.9063,1.48322,2.09454,2.73457,1.00842,0.98877,0.15817,0.16228,0.12272,0.98873,0.15813,0.16232,0.10267,0.96583,0.95539,1.35126,0.86194,0.00030091,0.00030091,0.00030091
2,140.4,1.15442,1.44516,1.10897,0.87923,0.59429,0.26549,0.26813,0.18886,0.59441,0.26561,0.26833,0.1725,0.97479,0.97197,0.85055,0.84864,0.000597932,0.000597932,0.000597932
3,212.424,1.04372,1.35209,0.79054,0.86225,0.62285,0.39792,0.30788,0.21609,0.6228,0.39786,0.30802,0.19283,0.87828,0.86635,0.61379,0.83313,0.000888954,0.000888954,0.000888954
4,283.602,0.9831,1.27322,0.66771,0.85308,0.62337,0.46271,0.30929,0.22131,0.62416,0.45662,0.30802,0.19178,0.89429,0.94357,0.55168,0.83216,0.000882003,0.000882003,0.000882003
5,404.969,0.95736,1.27648,0.59981,0.85054,0.62437,0.45322,0.32697,0.23408,0.62402,0.45286,0.32628,0.20476,0.86102,0.86263,0.51745,0.82958,0.000873004,0.000873004,0.000873004
6,472.725,0.93074,1.22029,0.55697,0.84426,0.62216,0.47875,0.35147,0.25341,0.62218,0.47877,0.35103,0.22983,0.93909,0.94907,0.50462,0.83257,0.000864004,0.000864004,0.000864004
7,544.463,0.91786,1.22998,0.54112,0.84183,0.64248,0.46677,0.39071,0.27974,0.64199,0.46626,0.38996,0.24841,0.8848,0.95622,0.47763,0.83048,0.000855005,0.000855005,0.000855005
8,641.295,0.90559,1.21205,0.52703,0.84064,0.71869,0.43202,0.43077,0.3089,0.71862,0.43195,0.42998,0.28636,0.86095,0.84455,0.46467,0.8249,0.000846006,0.000846006,0.000846006
9,710.68,0.90867,1.20383,0.52386,0.84073,0.73991,0.48173,0.45909,0.33,0.73968,0.4815,0.4582,0.30118,0.84572,0.88128,0.44693,0.8248,0.000837007,0.000837007,0.000837007
10,782.185,0.89514,1.19675,0.51705,0.83738,0.7428,0.48513,0.45818,0.32803,0.74245,0.48477,0.45803,0.30042,0.8387,0.85063,0.44057,0.82223,0.000828008,0.000828008,0.000828008
11,857.422,0.87907,1.15054,0.50199,0.83402,0.70897,0.51558,0.44154,0.31869,0.70894,0.51555,0.44153,0.29652,0.83936,0.83891,0.43981,0.82252,0.000819009,0.000819009,0.000819009
12,924.948,0.86852,1.13687,0.49651,0.83338,0.7385,0.51353,0.47154,0.34615,0.73812,0.51314,0.47128,0.3189,0.8059,0.88408,0.44006,0.81847,0.00081001,0.00081001,0.00081001
13,995.322,0.86606,1.157,0.49174,0.83378,0.74082,0.52595,0.46932,0.32632,0.74083,0.52596,0.46938,0.31135,0.81937,0.84043,0.43875,0.81881,0.000801011,0.000801011,0.000801011
14,1067.52,0.86765,1.15426,0.49301,0.83454,0.75058,0.50551,0.47764,0.34687,0.75021,0.50513,0.47773,0.3136,0.77173,0.8407,0.43233,0.81597,0.000792012,0.000792012,0.000792012
15,1166.46,0.85676,1.13776,0.48285,0.83202,0.72538,0.53873,0.49172,0.36259,0.72511,0.53846,0.49166,0.33735,0.80843,0.80695,0.42679,0.81888,0.000783013,0.000783013,0.000783013
16,1230.82,0.84822,1.11068,0.47322,0.82959,0.72649,0.54746,0.50061,0.36512,0.72831,0.54564,0.50203,0.33216,0.791,0.83152,0.41668,0.81593,0.000774013,0.000774013,0.000774013
17,1303.4,0.83371,1.09786,0.46468,0.82891,0.78552,0.53167,0.50609,0.36933,0.78506,0.53119,0.5055,0.33897,0.75579,0.79281,0.40483,0.81381,0.000765014,0.000765014,0.000765014
18,1373.47,0.8444,1.11021,0.4702,0.82918,0.73137,0.5521,0.51497,0.38403,0.73117,0.55189,0.51489,0.35519,0.77729,0.79264,0.41288,0.81461,0.000756015,0.000756015,0.000756015
19,1451.23,0.849,1.12784,0.46494,0.82735,0.74759,0.53591,0.52236,0.39133,0.74722,0.53552,0.52225,0.35751,0.74616,0.7913,0.4019,0.8124,0.000747016,0.000747016,0.000747016
20,1516.74,0.83778,1.11559,0.46134,0.82797,0.74942,0.55776,0.51368,0.37969,0.74886,0.55718,0.51345,0.34786,0.74587,0.77305,0.40265,0.81268,0.000738017,0.000738017,0.000738017
21,1586.74,0.83161,1.08601,0.45696,0.82687,0.73853,0.52749,0.52323,0.37594,0.73816,0.52711,0.52312,0.34701,0.83171,0.86459,0.42972,0.82027,0.000729018,0.000729018,0.000729018
